file,decile,mean_energy,fragile_fraction,mean_abs_diff,d_rs_per_bit,d_spa_per_bit,flips,domain
nature2.wav,4,134.80441956789755,0.08450551301971208,12.266875081899698,4.44e-08,4.01225e-08,20000,ambient
nature2.wav,5,142.63272751749398,0.08067348337071163,13.115676796872952,2.5499999999999968e-09,1.94575e-08,20000,ambient
nature2.wav,6,151.12155258334496,0.07935182654470982,13.6495100883975,-1.3900000000000002e-08,1.1791999999999999e-08,20000,ambient
nature2.wav,7,162.41665231415215,0.07783509786010573,14.167406669761451,8.7e-09,2.4384e-08,20000,ambient
nature2.wav,8,177.86532571445258,0.0686909450292748,15.846460819694224,2.765e-08,2.8278e-08,20000,ambient
nature2.wav,9,225.0896091466328,0.05401937200001496,22.52803103710161,-6.100000000000002e-09,1.3301e-08,20000,ambient
nature3.wav,0,103.86867193496576,0.10653110274655303,10.311009529275811,7.885000000000001e-08,1.2136500000000001e-08,20000,ambient
nature3.wav,1,134.891994299406,0.0875440552629218,11.459179514783344,4.75e-08,1.3564499999999999e-08,20000,ambient
nature3.wav,2,165.2259593426183,0.08197994524930023,12.325105348958814,6.8e-08,9.068500000000001e-09,20000,ambient
nature3.wav,3,233.554973619514,0.07070880465277155,14.144766272530457,6.204999999999999e-08,8.222500000000001e-09,20000,ambient
nature3.wav,4,625.8065369698741,0.04529971879753935,19.76990826345956,4.78e-08,5.023e-09,20000,ambient
nature3.wav,5,1001.2373914523879,0.02456052286510408,32.0010653991149,2.1499999999999997e-08,2.723e-09,20000,ambient
nature3.wav,6,1317.2747919053597,0.0162352796545489,44.70166937297347,2.005e-08,-1.4005000000000003e-09,20000,ambient
nature3.wav,7,1606.4102775264748,0.012924178664091734,55.353283934933444,1.2399999999999999e-08,-2.643e-09,20000,ambient
nature3.wav,8,1999.2227094763077,0.010717633259748309,68.07346636686317,4.0349999999999994e-08,2.1149999999999992e-10,20000,ambient
nature3.wav,9,2771.9160966630425,0.00854643958092234,89.82230164988786,1.2999999999999996e-08,-1.0045e-09,20000,ambient
nature4.wav,0,128.39247135354424,0.0358942418835359,46.73816898405324,3.654999999999999e-08,-3.8565000000000005e-09,20000,ambient
nature4.wav,1,174.0795350135922,0.02003143947900292,64.74835504154503,-5.4750000000000004e-08,-1.1567499999999998e-08,20000,ambient
nature4.wav,2,206.97115321748137,0.017477276172403532,77.40021446577249,6.7e-08,1.4013000000000003e-08,20000,ambient
nature4.wav,3,242.04462429434057,0.015232758572286823,91.15534830968596,4.125000000000001e-08,1.5148000000000008e-08,20000,ambient
nature4.wav,4,279.1618431665671,0.014064737093287667,103.66255860307122,6.05e-08,2.5365000000000002e-08,20000,ambient
nature4.wav,5,317.8474625616069,0.01313329253159795,121.94861788800485,6.095e-08,2.8147000000000004e-08,20000,ambient
nature4.wav,6,367.6131949431322,0.011683594122832135,143.83530118520264,3.2949999999999994e-08,2.155500000000003e-09,20000,ambient
nature4.wav,7,434.2068862307347,0.011322682414757099,179.0141407223613,-6.749999999999996e-09,7.5445e-09,20000,ambient
nature4.wav,8,562.6132601651956,0.006365029383535117,348.9900314883729,-4.799999999999999e-08,-1.2814499999999997e-08,20000,ambient
nature4.wav,9,1138.1170566415374,0.0014866760168302945,1225.920258064516,4.699999999999995e-09,7.5445e-09,20000,ambient
nature5.wav,0,446.5726465570704,0.0690351016940152,48.131728476839704,-2.86e-08,-1.7892499999999996e-08,20000,ambient
nature5.wav,1,651.9004345282717,0.018814220407935022,67.20049209433672,-8.950000000000006e-09,1.3560000000000026e-09,20000,ambient
nature5.wav,2,757.2954665888259,0.01741965429116267,72.76696249321948,-3.2050000000000006e-08,-4.804e-09,20000,ambient
nature5.wav,3,846.5169212442635,0.016542005116948845,79.11447145833041,-3.060000000000001e-08,-4.295499999999995e-09,20000,ambient
nature5.wav,4,938.2546557051978,0.014730431427157345,91.66249472215465,3.72e-08,6.667500000000003e-09,20000,ambient
